"corpus","preloaded/estonian_nc17"
"subcorpus","-"
"concordance size","31865"
"query","Query:<s> [tag!=""J""] [tag!=""V"" & word=""[A-ZÜÕÄÖŠŽ][a-züõäöšž]{2,8}""]{1,5} [tag!=""V"" & word=""[a-züõäöšž][a-zõüöäšž]{2,8}""]{0,5} [tag=""V""] []{0,5} [tag!=""V""]{0,5} [tag=""V""]? [tag!=""V""]{0,5} [word=""[\.\?\!]""] within <s/> !containing [word=""[\;\:\)\(\]\[\/\\\>\<\-\""]""] !containing [word="".""]{3} within <doc src=""wiki17"" />;GDEX:2000 "
"wikipedia.org,wiki17","<s>","Üks Ukraina sõdur suri haiglas haavadesse .","</s>"
"wikipedia.org,wiki17","<s>","Mõned Seltsi liikmed said viga .","</s>"
"wikipedia.org,wiki17","<s>","Nooruse Maja suures saalis on näitus ja etteantud teemadel tööde võistlus .","</s>"
"wikipedia.org,wiki17","<s>","Valge Maja pole sobiv võrdlus .","</s>"
"wikipedia.org,wiki17","<s>","Miks Eelise mall ei tööta ?","</s>"
"wikipedia.org,wiki17","<s>","Euroopa Liit ei ole riik .","</s>"
"wikipedia.org,wiki17","<s>","Kuningas Hussein lubas neile poliitilist varjupaika .","</s>"
"wikipedia.org,wiki17","<s>","Teenis Rootsi armees kus sai kapteni auastme .","</s>"
"wikipedia.org,wiki17","<s>","Seos Eestiga tuleks ära märkida .","</s>"
"wikipedia.org,wiki17","<s>","Kogu Kosovo alal on tugevate maavärinate oht .","</s>"
"wikipedia.org,wiki17","<s>","Põhjamaade Nõukogu finantseerivad liikmesriikide parlamendid .","</s>"
"wikipedia.org,wiki17","<s>","Kas Postimees on kollane ajakirjandus ?","</s>"
"wikipedia.org,wiki17","<s>","Kui Orlando oli neli aastat vana suri ta isa .","</s>"
"wikipedia.org,wiki17","<s>","Pärast Tapat jaguneb raudtee kaheks .","</s>"
"wikipedia.org,wiki17","<s>","Kõik Vatikani kodanikud on katoliiklased ja pühakojad kuuluvad katoliku kirikusse .","</s>"
"wikipedia.org,wiki17","<s>","Link Töö Lipp läheb nähtavasti valesse kohta .","</s>"
"wikipedia.org,wiki17","<s>","Kontroll Vaba Riigi üle oli pea pidevas kõikumises .","</s>"
